STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,EDUCATION_LEV,Education level,DOMAIN,Domain,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,AUS,Australia,6_4_DEP,Adults with low numeracy skills,PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2012,,11.116686,,A,Normal value,0,Units,2,Two,_Z,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,AUS,Australia,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2018,,11.2151795336,,A,Normal value,0,Units,2,Two,_Z,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,AUS,Australia,6_1_DEP,"Students with low skills in reading, mathematics and science",PT_ST,Percentage of students,_T,Total,_T,Total,_T,Total,HSL_6,Knowledge and skills,2022,,12.0827633905,,A,Normal value,0,Units,2,Two,_Z,
