region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
East Asia & Pacific,EAS,Australia,AUS,1981,national,IHS-LIS,national,1981,income,0,1981,15,0.072,0.024770122516000002,0.014898194485,0.048387660158,41.714507762073,35.084612216307,0.185178833721,0.313248761556,0.283410431546,0.027761347701,0.048944018833,0.059855708847,0.069155995192,0.078340397481,0.090619068997,0.106471336957,0.127170786809,0.158384643982,0.2332966952,0.241574209755,1.50987136364,14923260,31576.40830121845,17170.14248224075,FALSE,micro,survey,18.842,0.123,1.301501466855,
East Asia & Pacific,EAS,Australia,AUS,1985,national,IDS-LIS,national,1985,income,1,1985,15,0.067,0.024718569266,0.01537252516,0.05034908004,43.103537136702,35.631732649645,0.199694707149,0.324974699963,0.291189582921,0.027131266422,0.047598736819,0.058747495343,0.06728125394,0.076847588998,0.089397232812,0.103987824932,0.126518355769,0.159590267479,0.242899977486,0.328448817249,1.50987136364,15788312,33347.18714756155,17768.73741718565,FALSE,micro,survey,19.116,0.124,1.367752568289,
East Asia & Pacific,EAS,Australia,AUS,1989,national,SIHCA-LIS,national,1989,income,2,1989,15,0.069,0.02510246571,0.014703316993,0.047703638074,44.298553503512,36.560269313707,0.204969175196,0.331531285894,0.298732653769,0.026321447103,0.046333115859,0.05718151826,0.066521200039,0.076520046988,0.089684280323,0.105454994334,0.126160523976,0.158855949429,0.24696692369,0.448189240109,1.50987136364,16814416,36603.798186126296,19233.18859538235,FALSE,micro,survey,19.58,0.132,1.293873465743,
East Asia & Pacific,EAS,Australia,AUS,1995,national,SIH-LIS,national,1995,income,3,1995 - 2020,15,0.071,0.023996819867,0.014760659442,0.050736442328,40.791050967157,33.645722018488,0.199859094415,0.325793404316,0.290181306714,0.028472931451,0.047200127628,0.057787804932,0.066995847277,0.077079254225,0.089491392507,0.1043630275,0.124703970713,0.157622343057,0.24628330071,0.544274649362,1.50987136364,18004882,39922.3294696648,20988.914677254448,FALSE,micro,survey,18.123,0.127,1.533937123709,
East Asia & Pacific,EAS,Australia,AUS,2001,national,SIH-LIS,national,2001,income,3,1995 - 2020,15,0.058,0.019994348548,0.012663167809,0.044397207784,46.996285520046,38.20237401913,0.209892478344,0.334626654042,0.306416777525,0.027411213909,0.046412947731,0.056161044577,0.065180439257,0.075523002971,0.088963449681,0.104513146879,0.126759022454,0.158165443119,0.250910289424,0.624869164748,1.50987136364,19274701,46957.015729364,24866.317260397947,FALSE,micro,survey,20.401,0.125,1.405202682233,
East Asia & Pacific,EAS,Australia,AUS,2003,national,SIH-LIS,national,2003,income,3,1995 - 2020,15,0.05,0.019981405451,0.013904183757,0.048713259267,48.466164036374,39.456986148555,0.215711013053,0.334977872416,0.304005489714,0.027117096033,0.046537407248,0.056002586222,0.065301144387,0.075951882649,0.088605239118,0.104857472013,0.126410065998,0.158088783394,0.251128322938,0.661084362571,1.50987136364,19720737,49264.1268332112,26398.4991152986,FALSE,micro,survey,21.028,0.121,1.526373759415,
East Asia & Pacific,EAS,Australia,AUS,2004,national,SIH-HES-LIS,national,2004,income,3,1995 - 2020,15,0.03,0.012926852898,0.009039585747,0.031435527671,52.749261148631,43.248741183466,0.19985034682,0.330564779191,0.291642222781,0.029994405059,0.047113054618,0.056511258409,0.065553113679,0.076036951842,0.088186653378,0.103527423357,0.124124993996,0.155498939114,0.253453206548,0.676575256437,1.50987136364,19932722,50495.615484065056,27379.8313613195,FALSE,micro,survey,22.924,0.116,1.201214635938,
East Asia & Pacific,EAS,Australia,AUS,2008,national,SIH-LIS,national,2008,income,3,1995 - 2020,15,0.022,0.009161777393,0.006515348938,0.022161425611,66.694562264959,52.581199266598,0.224467642799,0.354302113962,0.310708444856,0.028011455364,0.044270160066,0.053415865896,0.06265323204,0.073523689115,0.085696844664,0.102098662188,0.122847005258,0.153311912144,0.274171173265,0.768264601214,1.50987136364,21249199,53463.90141675355,29893.76908519215,FALSE,micro,survey,27.591,0.117,0.908753774648,
East Asia & Pacific,EAS,Australia,AUS,2010,national,SIH-HES-LIS,national,2010,income,3,1995 - 2020,15,0.024,0.010431756496,0.007080892075,0.023571989525,66.454476422187,53.389726826187,0.216179036236,0.346579780111,0.308426359944,0.027498567436,0.04522854924,0.054771925139,0.063440787537,0.074096491727,0.087073340852,0.103096142563,0.124307945113,0.15590427709,0.264581973303,0.804689135441,1.50987136364,22031750,54032.2909329612,30598.352477229797,FALSE,micro,survey,27.995,0.119,0.903679682564,
East Asia & Pacific,EAS,Australia,AUS,2014,national,SIH-LIS,national,2014,income,3,1995 - 2020,15,0.02,0.009960693948,0.007215699174,0.024611277293,71.041761177362,56.74675424706,0.21769835268,0.344004708916,0.288114349337,0.028369931885,0.046022219917,0.056124016019,0.065556851939,0.074647469272,0.086538433383,0.101229739496,0.119889136467,0.151491644467,0.270130557155,0.888214360477,1.50987136364,23475686,56771.08377762655,31865.0830881402,FALSE,micro,survey,29.673,0.113,0.928641075627,
