Country Name,Country Code,Time,Time Code,"Bird species, threatened [EN.BIR.THRD.NO]","Fish species, threatened [EN.FSH.THRD.NO]","Mammal species, threatened [EN.MAM.THRD.NO]","Plant species (higher), threatened [EN.HPT.THRD.NO]"
Australia,AUS,2018,YR2018,52,125,63,108
Australia,AUS,2022,YR2022,66,214,69,766
