domain,dimension,indicator,Date,value,boundary
social,income and work,prop_pop_living_below_median_income,2001,10.2,0
social,income and work,prop_pop_living_below_median_income,2003,10.3,0
social,income and work,prop_pop_living_below_median_income,2004,9.6,0
social,income and work,prop_pop_living_below_median_income,2008,10.2,0
social,income and work,prop_pop_living_below_median_income,2010,10.5,0
social,income and work,prop_pop_living_below_median_income,2014,9.8,0
social,income and work,prop_pop_living_below_median_income,2016,10.7,0
social,income and work,prop_pop_living_below_median_income,2018,11.7,0
social,income and work,prop_pop_living_below_median_income,2020,11.3,0
