domain,dimension,indicator,Date,value,boundary
social,housing,prop_in_need_on_waiting_list,2014,28.000000000000004,0
social,housing,prop_in_need_on_waiting_list,2015,25.7,0
social,housing,prop_in_need_on_waiting_list,2016,25.6,0
social,housing,prop_in_need_on_waiting_list,2017,26.700000000000003,0
social,housing,prop_in_need_on_waiting_list,2018,32.6,0
social,housing,prop_in_need_on_waiting_list,2019,35.4,0
social,housing,prop_in_need_on_waiting_list,2020,37.7,0
social,housing,prop_in_need_on_waiting_list,2021,41.4,0
social,housing,prop_in_need_on_waiting_list,2022,38.9,0
