"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"CtG10A.6","2021","Imprisonment rate","45-49 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","240","50","215","192","45","10","9","124","","872"
"CtG10A.6","2021","Imprisonment rate","50-54 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","141","30","128","83","25","3","3","67","","476"
"CtG10A.6","2021","Imprisonment rate","55+ years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","110","29","89","86","33","8","3","34","","391"
"CtG10A.6","2021","Imprisonment rate","18-24 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","51","10","68","33","6","3","0","11","","181"
"CtG10A.6","2021","Imprisonment rate","25-29 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","70","11","69","68","14","5","5","12","","246"
"CtG10A.6","2021","Imprisonment rate","30-34 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","56","3","92","71","22","3","0","17","","268"
"CtG10A.6","2021","Imprisonment rate","35-39 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","65","5","68","56","23","6","6","27","","256"
"CtG10A.6","2021","Imprisonment rate","40-44 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","37","11","42","35","10","4","3","13","","158"
"CtG10A.6","2021","Imprisonment rate","45-49 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","16","4","23","29","5","0","0","15","","94"
"CtG10A.6","2021","Imprisonment rate","50-54 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","15","0","11","8","3","0","0","9","","43"
"CtG10A.6","2021","Imprisonment rate","55+ years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","4","0","3","3","3","0","0","4","","20"
"CtG10A.6","2021","Imprisonment rate","18-24 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","836","613","668","293","153","48","27","21","","2663"
"CtG10A.6","2021","Imprisonment rate","25-29 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1337","974","1043","504","309","71","55","26","","4317"
"CtG10A.6","2021","Imprisonment rate","30-34 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1506","1143","1127","662","356","74","51","41","","4972"
"CtG10A.6","2021","Imprisonment rate","35-39 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1411","1002","1002","685","398","94","42","31","","4666"
"CtG10A.6","2021","Imprisonment rate","40-44 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1199","737","755","512","314","57","26","40","","3634"
"CtG10A.6","2021","Imprisonment rate","45-49 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","857","525","545","387","198","43","27","21","","2594"
"CtG10A.6","2021","Imprisonment rate","50-54 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","658","359","315","261","175","23","11","32","","1832"
"CtG10A.6","2021","Imprisonment rate","55+ years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1152","624","473","414","306","49","22","38","","3080"
"CtG10A.6","2021","Imprisonment rate","18-24 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","48","34","68","25","8","6","0","0","","199"
"CtG10A.6","2021","Imprisonment rate","25-29 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","98","66","103","60","24","8","3","9","","366"
"CtG10A.6","2021","Imprisonment rate","30-34 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","108","71","103","71","27","8","0","3","","389"
"CtG10A.6","2021","Imprisonment rate","35-39 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","96","59","89","55","26","8","0","3","","343"
"CtG10A.6","2021","Imprisonment rate","40-44 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","76","28","80","42","27","9","0","0","","265"
"CtG10A.6","2021","Imprisonment rate","45-49 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","67","28","46","30","14","3","3","0","","191"
"CtG10A.6","2021","Imprisonment rate","50-54 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","35","24","30","26","9","3","0","0","","124"
"CtG10A.6","2021","Imprisonment rate","55+ years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","31","32","27","19","14","0","3","0","","131"
"CtG10A.6","2020","Imprisonment rate","18-24 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","614","114","599","433","93","26","16","238","","2122"
"CtG10A.6","2020","Imprisonment rate","25-29 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","721","133","584","496","105","36","18","238","","2323"
"CtG10A.6","2020","Imprisonment rate","30-34 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","551","119","546","475","135","25","26","254","","2124"
"CtG10A.6","2020","Imprisonment rate","35-39 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","452","118","404","343","97","17","15","222","","1665"
"CtG10A.6","2020","Imprisonment rate","40-44 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","297","85","289","266","92","20","10","154","","1212"
"CtG10A.6","2020","Imprisonment rate","45-49 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","204","54","163","180","51","6","12","101","","776"
"CtG10A.6","2020","Imprisonment rate","50-54 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","108","22","93","83","27","3","0","51","","392"
"CtG10A.6","2020","Imprisonment rate","55+ years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","106","32","70","71","32","7","3","35","","344"
"CtG10A.6","2020","Imprisonment rate","18-24 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","53","3","83","48","15","3","3","4","","213"
"CtG10A.6","2020","Imprisonment rate","25-29 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","61","13","59","76","9","0","6","22","","235"
"CtG10A.6","2020","Imprisonment rate","30-34 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","59","12","63","77","12","0","7","13","","235"
"CtG10A.6","2020","Imprisonment rate","35-39 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","63","4","38","56","17","3","3","8","","202"
"CtG10A.6","2020","Imprisonment rate","40-44 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","13","3","34","40","6","3","0","10","","112"
"CtG10A.6","2020","Imprisonment rate","45-49 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","16","0","25","27","3","3","0","9","","80"
"CtG10A.6","2020","Imprisonment rate","50-54 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","9","0","8","5","4","0","0","0","","31"
"CtG10A.6","2020","Imprisonment rate","55+ years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","8","0","0","4","3","0","0","7","","22"
"CtG10A.6","2020","Imprisonment rate","18-24 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","916","660","641","333","172","70","45","27","","2862"
"CtG10A.6","2020","Imprisonment rate","25-29 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1354","1054","902","548","310","72","59","26","","4324"
"CtG10A.6","2020","Imprisonment rate","30-34 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1476","1108","995","682","344","76","54","38","","4770"
"CtG10A.6","2020","Imprisonment rate","35-39 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1417","921","867","647","354","76","42","24","","4360"
"CtG10A.6","2020","Imprisonment rate","40-44 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1116","709","636","503","273","57","35","33","","3375"
"CtG10A.6","2020","Imprisonment rate","45-49 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","858","526","445","378","242","39","34","29","","2541"
"CtG10A.6","2020","Imprisonment rate","50-54 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","607","370","250","269","148","23","9","23","","1702"
"CtG10A.6","2020","Imprisonment rate","55+ years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1086","650","421","373","283","50","33","44","","2941"
"CtG10A.6","2020","Imprisonment rate","18-24 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","69","38","53","38","11","9","0","5","","228"
"CtG10A.6","2020","Imprisonment rate","25-29 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","90","65","86","56","34","12","4","6","","345"
"CtG10A.6","2020","Imprisonment rate","30-34 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","93","74","81","90","18","6","5","0","","367"
"CtG10A.6","2020","Imprisonment rate","35-39 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","76","53","72","71","31","13","3","0","","319"
"CtG10A.6","2020","Imprisonment rate","40-44 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","88","25","74","58","30","3","5","6","","286"
"CtG10A.6","2020","Imprisonment rate","45-49 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","60","33","48","39","15","3","4","3","","207"
"CtG10A.6","2020","Imprisonment rate","50-54 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","42","14","22","12","8","0","0","0","","103"
"CtG10A.6","2020","Imprisonment rate","55+ years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","43","31","24","27","10","3","0","0","","140"
"CtG10A.6","2019","Imprisonment rate","18-24 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","674","126","606","471","105","27","16","258","","2287"
"CtG10A.6","2019","Imprisonment rate","25-29 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","683","152","541","519","108","27","20","259","","2320"
"CtG10A.6","2019","Imprisonment rate","30-34 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","626","140","461","439","128","21","17","245","","2082"
"CtG10A.6","2019","Imprisonment rate","35-39 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","430","126","409","341","95","16","11","220","","1660"
"CtG10A.6","2019","Imprisonment rate","40-44 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","283","90","246","271","86","13","10","149","","1147"
"CtG10A.6","2019","Imprisonment rate","45-49 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","220","60","159","173","39","7","5","98","","767"
"CtG10A.6","2019","Imprisonment rate","50-54 years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","117","27","87","84","28","7","7","72","","425"
"CtG10A.6","2019","Imprisonment rate","55+ years old","Males","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","97","31","51","75","29","3","0","35","","325"
"CtG10A.6","2019","Imprisonment rate","18-24 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","66","14","83","53","10","0","3","5","","230"
"CtG10A.6","2019","Imprisonment rate","25-29 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","62","19","68","69","11","7","3","21","","250"
"CtG10A.6","2019","Imprisonment rate","30-34 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","48","15","67","58","6","0","3","12","","218"
"CtG10A.6","2019","Imprisonment rate","35-39 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","75","13","45","54","18","3","0","9","","222"
"CtG10A.6","2019","Imprisonment rate","40-44 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","29","15","23","38","4","3","0","12","","124"
"CtG10A.6","2019","Imprisonment rate","45-49 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","19","6","21","18","9","0","0","14","","88"
"CtG10A.6","2019","Imprisonment rate","50-54 years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","5","0","10","7","4","0","0","3","","28"
"CtG10A.6","2019","Imprisonment rate","55+ years old","Females","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","3","4","3","3","0","0","0","4","","16"
"CtG10A.6","2019","Imprisonment rate","18-24 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1026","772","706","383","172","59","52","30","","3204"
"CtG10A.6","2019","Imprisonment rate","25-29 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1535","1195","947","631","304","85","64","34","","4793"
"CtG10A.6","2019","Imprisonment rate","30-34 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1536","1269","999","673","347","98","58","50","","5026"
"CtG10A.6","2019","Imprisonment rate","35-39 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1509","1027","855","676","338","84","49","31","","4570"
"CtG10A.6","2019","Imprisonment rate","40-44 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1161","816","628","489","252","64","36","40","","3483"
"CtG10A.6","2019","Imprisonment rate","45-49 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","924","604","497","366","215","43","28","25","","2698"
"CtG10A.6","2019","Imprisonment rate","50-54 years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","607","396","284","246","159","23","16","25","","1746"
"CtG10A.6","2019","Imprisonment rate","55+ years old","Males","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","1080","681","445","385","261","50","28","33","","2964"
"CtG10A.6","2019","Imprisonment rate","18-24 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","92","65","87","48","19","9","0","3","","316"
"CtG10A.6","2019","Imprisonment rate","25-29 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","108","84","91","66","24","9","3","3","","392"
"CtG10A.6","2019","Imprisonment rate","30-34 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","99","99","105","74","24","5","5","4","","423"
"CtG10A.6","2019","Imprisonment rate","35-39 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","106","83","90","62","19","10","0","0","","369"
"CtG10A.6","2019","Imprisonment rate","40-44 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","83","53","67","63","22","0","3","8","","292"
"CtG10A.6","2019","Imprisonment rate","45-49 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","64","42","58","41","11","3","8","3","","229"
"CtG10A.6","2019","Imprisonment rate","50-54 years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","45","27","25","33","6","0","0","0","","137"
"CtG10A.6","2019","Imprisonment rate","55+ years old","Females","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS (unpublished) Prisoners in Australia","no.","48","38","22","24","11","3","0","3","","149"
"SE10a.1","2024-25","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","7888.8","np","6787.4","np","10179.3","np","5232.9","np","","np"
"SE10a.1","2024-25","Police proceedings","18+ years old","All people","Non-Indigenous people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","787.0","np","888.2","np","585.1","np","440.6","np","","np"
"SE10a.1","2024-25","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","17435","np","12207","np","3463","np","359","np","","np"
"SE10a.1","2024-25","Police proceedings","18+ years old","All people","Non-Indigenous people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","51335","np","37452","np","8653","np","1653","np","","np"
"SE10a.1","2024-25","Police proceedings","18+ years old","All people","Indigenous status not stated","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","1505","np","11","np","1276","np","0","np","","np"
"SE10a.1","2023-24","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","7864.6","np","7378.8","np","9237.6","np","4590.3","np","","np"
"SE10a.1","2023-24","Police proceedings","18+ years old","All people","Non-Indigenous people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","780.2","np","1038.5","np","555.4","np","415.0","np","","np"
"SE10a.1","2023-24","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","16959","np","12895","np","3068","np","305","np","","np"
"SE10a.1","2023-24","Police proceedings","18+ years old","All people","Non-Indigenous people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","50083","np","42913","np","8078","np","1514","np","","np"
"SE10a.1","2023-24","Police proceedings","18+ years old","All people","Indigenous status not stated","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","1553","np","25","np","896","np","0","np","","np"
"SE10a.1","2022-23","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","7505.1","np","7733.4","np","8910.5","np","5160.1","np","","np"
"SE10a.1","2022-23","Police proceedings","18+ years old","All people","Non-Indigenous people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","845.9","np","1115.5","np","586.3","np","431.3","np","","np"
"SE10a.1","2022-23","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","15807","np","13140","np","2892","np","332","np","","np"
"SE10a.1","2022-23","Police proceedings","18+ years old","All people","Non-Indigenous people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","52762","np","44606","np","8360","np","1536","np","","np"
"SE10a.1","2022-23","Police proceedings","18+ years old","All people","Indigenous status not stated","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","1605","np","21","np","949","np","0","np","","np"
"SE10a.1","2021-22","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","7019.1","np","7859.4","np","np","np","5335.3","np","","np"
"SE10a.1","2021-22","Police proceedings","18+ years old","All people","Non-Indigenous people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","760.6","np","1094.7","np","np","np","398.5","np","","np"
"SE10a.1","2021-22","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","14449","np","12998","np","np","np","333","np","","np"
"SE10a.1","2021-22","Police proceedings","18+ years old","All people","Non-Indigenous people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","46494","np","42755","np","np","np","1391","np","","np"
"SE10a.1","2021-22","Police proceedings","18+ years old","All people","Indigenous status not stated","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","3842","np","18","np","np","np","0","np","","np"
"SE10a.1","2020-21","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","6209.7","np","8382.0","np","np","np","5055.3","np","","np"
"SE10a.1","2020-21","Police proceedings","18+ years old","All people","Non-Indigenous people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","791.2","np","1201.8","np","np","np","372.1","np","","np"
"SE10a.1","2020-21","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","12500","np","13504","np","np","np","304","np","","np"
"SE10a.1","2020-21","Police proceedings","18+ years old","All people","Non-Indigenous people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","48448","np","46200","np","np","np","1280","np","","np"
"SE10a.1","2020-21","Police proceedings","18+ years old","All people","Indigenous status not stated","All areas","Adults charged by police at least once in the previous 12 months","","","","","Number","","","ABS (unpublished) Recorded Crime - Offenders","no.","5535","np","129","np","np","np","0","np","","np"
"SE10a.1","2019-20","Police proceedings","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Adults charged by police at least once in the previous 12 months","","","","","Rate per 100000 adults","","","Derived from ABS (unpublished) Recorded Crime - Offenders; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","5521.9","np","8553.0","np","np","np","4881.0","np","","np"
