key,value
ISO3,AUS
HDR Country Name,Australia
Human Development Groups,Very High
UNDP Developeing Regions,
Coefficient of human inequality (2014),9.0590432
Coefficient of human inequality (2015),9.021980867
Coefficient of human inequality (2016),8.57511847
Coefficient of human inequality (2017),8.627568437
Coefficient of human inequality (2018),8.7494322
Coefficient of human inequality (2019),8.777441933
Coefficient of human inequality (2020),8.7392405
Coefficient of human inequality (2021),8.786452733
Coefficient of human inequality (2022),8.668244
Coefficient of human inequality (2023),8.584907567
Overall loss (%) (2010),9.79547901
Overall loss (%) (2011),9.860664523
Overall loss (%) (2012),9.701492537
Overall loss (%) (2013),9.732620321
Overall loss (%) (2014),9.284951974
Overall loss (%) (2015),9.275053305
Overall loss (%) (2016),8.839190628
Overall loss (%) (2017),8.829787234
Overall loss (%) (2018),8.994708995
Overall loss (%) (2019),9.081309398
Overall loss (%) (2020),9.052631579
Overall loss (%) (2021),9.119496855
Overall loss (%) (2022),8.928571429
Overall loss (%) (2023),8.872651357
Inequality in life expectancy (2010),4.0737605
Inequality in life expectancy (2011),3.8959556
Inequality in life expectancy (2012),3.6236944
Inequality in life expectancy (2013),3.7784936
Inequality in life expectancy (2014),3.6183856
Inequality in life expectancy (2015),3.5071986
Inequality in life expectancy (2016),3.44525
Inequality in life expectancy (2017),3.6025999
Inequality in life expectancy (2018),3.4527631
Inequality in life expectancy (2019),3.5367923
Inequality in life expectancy (2020),3.422188
Inequality in life expectancy (2021),3.5638247
Inequality in life expectancy (2022),3.2091985
Inequality in life expectancy (2023),2.9591892
Inequality in eduation (2010),5.92952
Inequality in eduation (2011),5.92952
Inequality in eduation (2012),5.92952
Inequality in eduation (2013),5.92952
Inequality in eduation (2014),5.11408
Inequality in eduation (2015),5.11408
Inequality in eduation (2016),4.50189
Inequality in eduation (2017),4.50189
Inequality in eduation (2018),4.305631
Inequality in eduation (2019),4.305631
Inequality in eduation (2020),4.305631
Inequality in eduation (2021),4.305631
Inequality in eduation (2022),4.305631
Inequality in eduation (2023),4.305631
Inequality in income (2010),18.79292297
Inequality in income (2011),18.79292297
Inequality in income (2012),18.79292297
Inequality in income (2013),18.79292297
Inequality in income (2014),18.444664
Inequality in income (2015),18.444664
Inequality in income (2016),17.77821541
Inequality in income (2017),17.77821541
Inequality in income (2018),18.4899025
Inequality in income (2019),18.4899025
Inequality in income (2020),18.4899025
Inequality in income (2021),18.4899025
Inequality in income (2022),18.4899025
Inequality in income (2023),18.4899025
GII Rank (2023),20
Gender Inequality Index (value) (1990),0.188
Gender Inequality Index (value) (1991),0.187
Gender Inequality Index (value) (1992),0.187
Gender Inequality Index (value) (1993),0.183
Gender Inequality Index (value) (1994),0.181
Gender Inequality Index (value) (1995),0.178
Gender Inequality Index (value) (1996),0.177
Gender Inequality Index (value) (1997),0.174
Gender Inequality Index (value) (1998),0.171
Gender Inequality Index (value) (1999),0.158
Gender Inequality Index (value) (2000),0.153
Gender Inequality Index (value) (2001),0.152
Gender Inequality Index (value) (2002),0.146
Gender Inequality Index (value) (2003),0.141
Gender Inequality Index (value) (2004),0.137
Gender Inequality Index (value) (2005),0.137
Gender Inequality Index (value) (2006),0.135
Gender Inequality Index (value) (2007),0.136
Gender Inequality Index (value) (2008),0.14
Gender Inequality Index (value) (2009),0.137
Gender Inequality Index (value) (2010),0.137
Gender Inequality Index (value) (2011),0.132
Gender Inequality Index (value) (2012),0.131
Gender Inequality Index (value) (2013),0.122
Gender Inequality Index (value) (2014),0.116
Gender Inequality Index (value) (2015),0.109
Gender Inequality Index (value) (2016),0.101
Gender Inequality Index (value) (2017),0.094
Gender Inequality Index (value) (2018),0.091
Gender Inequality Index (value) (2019),0.079
Gender Inequality Index (value) (2020),0.072
Gender Inequality Index (value) (2021),0.065
Gender Inequality Index (value) (2022),0.056
Gender Inequality Index (value) (2023),0.056
"Maternal Mortality Ratio (deaths per 100,000 live births) (1990)",8.255919722
"Maternal Mortality Ratio (deaths per 100,000 live births) (1991)",8.785240104
"Maternal Mortality Ratio (deaths per 100,000 live births) (1992)",8.792664445
"Maternal Mortality Ratio (deaths per 100,000 live births) (1993)",8.958936077
"Maternal Mortality Ratio (deaths per 100,000 live births) (1994)",9.348917856
"Maternal Mortality Ratio (deaths per 100,000 live births) (1995)",8.086463936
"Maternal Mortality Ratio (deaths per 100,000 live births) (1996)",7.786785242
"Maternal Mortality Ratio (deaths per 100,000 live births) (1997)",7.883336798
"Maternal Mortality Ratio (deaths per 100,000 live births) (1998)",7.467750592
"Maternal Mortality Ratio (deaths per 100,000 live births) (1999)",7.176689272
"Maternal Mortality Ratio (deaths per 100,000 live births) (2000)",6.693826866
"Maternal Mortality Ratio (deaths per 100,000 live births) (2001)",5.972060301
"Maternal Mortality Ratio (deaths per 100,000 live births) (2002)",5.568369608
"Maternal Mortality Ratio (deaths per 100,000 live births) (2003)",5.514745918
"Maternal Mortality Ratio (deaths per 100,000 live births) (2004)",5.117370039
"Maternal Mortality Ratio (deaths per 100,000 live births) (2005)",4.595686978
"Maternal Mortality Ratio (deaths per 100,000 live births) (2006)",4.565958995
"Maternal Mortality Ratio (deaths per 100,000 live births) (2007)",5.106900689
"Maternal Mortality Ratio (deaths per 100,000 live births) (2008)",4.889854251
"Maternal Mortality Ratio (deaths per 100,000 live births) (2009)",5.380750415
"Maternal Mortality Ratio (deaths per 100,000 live births) (2010)",5.45191211
"Maternal Mortality Ratio (deaths per 100,000 live births) (2011)",5.937447778
"Maternal Mortality Ratio (deaths per 100,000 live births) (2012)",5.859327583
"Maternal Mortality Ratio (deaths per 100,000 live births) (2013)",5.993524848
"Maternal Mortality Ratio (deaths per 100,000 live births) (2014)",5.390198649
"Maternal Mortality Ratio (deaths per 100,000 live births) (2015)",5.244025298
"Maternal Mortality Ratio (deaths per 100,000 live births) (2016)",5.175834045
"Maternal Mortality Ratio (deaths per 100,000 live births) (2017)",4.771442981
"Maternal Mortality Ratio (deaths per 100,000 live births) (2018)",4.42425208
"Maternal Mortality Ratio (deaths per 100,000 live births) (2019)",5.085506667
"Maternal Mortality Ratio (deaths per 100,000 live births) (2020)",2.941509495
"Maternal Mortality Ratio (deaths per 100,000 live births) (2021)",2.941509495
"Maternal Mortality Ratio (deaths per 100,000 live births) (2022)",2.941509495
"Maternal Mortality Ratio (deaths per 100,000 live births) (2023)",2.941509495
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1990)",22.426
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1991)",22.274
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1992)",22.306
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1993)",21.245
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1994)",20.965
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1995)",20.453
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1996)",20.163
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1997)",19.62
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1998)",18.847
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1999)",18.393
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2000)",17.795
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2001)",17.62
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2002)",17.238
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2003)",16.34
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2004)",16.144
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2005)",16.491
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2006)",16.11
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2007)",17.127
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2008)",18.189
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2009)",17.814
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2010)",17.069
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2011)",16.307
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2012)",16.038
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2013)",14.697
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2014)",13.072
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2015)",12.038
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2016)",10.939
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2017)",10.235
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2018)",9.741
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2019)",8.763
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2020)",7.726
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2021)",7.089
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2022)",6.747
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2023)",6.715
"Share of seats in parliament, female (% held by women) (1990)",20.53571429
"Share of seats in parliament, female (% held by women) (1991)",20.53571429
"Share of seats in parliament, female (% held by women) (1992)",20.53571429
"Share of seats in parliament, female (% held by women) (1993)",20.53571429
"Share of seats in parliament, female (% held by women) (1994)",20.53571429
"Share of seats in parliament, female (% held by women) (1995)",20.53571429
"Share of seats in parliament, female (% held by women) (1996)",20.53571429
"Share of seats in parliament, female (% held by women) (1997)",20.53571429
"Share of seats in parliament, female (% held by women) (1998)",20.53571429
"Share of seats in parliament, female (% held by women) (1999)",24.66367713
"Share of seats in parliament, female (% held by women) (2000)",25
"Share of seats in parliament, female (% held by women) (2001)",25
"Share of seats in parliament, female (% held by women) (2002)",26.54867257
"Share of seats in parliament, female (% held by women) (2003)",26.54867257
"Share of seats in parliament, female (% held by women) (2004)",28.31858407
"Share of seats in parliament, female (% held by women) (2005)",28.31858407
"Share of seats in parliament, female (% held by women) (2006)",28.31858407
"Share of seats in parliament, female (% held by women) (2007)",29.6460177
"Share of seats in parliament, female (% held by women) (2008)",29.6460177
"Share of seats in parliament, female (% held by women) (2009)",30.08849558
"Share of seats in parliament, female (% held by women) (2010)",28.31858407
"Share of seats in parliament, female (% held by women) (2011)",29.20353982
"Share of seats in parliament, female (% held by women) (2012)",29.20353982
"Share of seats in parliament, female (% held by women) (2013)",31.11111111
"Share of seats in parliament, female (% held by women) (2014)",30.08849558
"Share of seats in parliament, female (% held by women) (2015)",30.53097345
"Share of seats in parliament, female (% held by women) (2016)",31.4159292
"Share of seats in parliament, female (% held by women) (2017)",32.74336283
"Share of seats in parliament, female (% held by women) (2018)",32.74336283
"Share of seats in parliament, female (% held by women) (2019)",36.56387665
"Share of seats in parliament, female (% held by women) (2020)",36.72566372
"Share of seats in parliament, female (% held by women) (2021)",37.88546256
"Share of seats in parliament, female (% held by women) (2022)",44.49339207
"Share of seats in parliament, female (% held by women) (2023)",44.49339207
"Share of seats in parliament, male (% held by men) (1990)",79.46428571
"Share of seats in parliament, male (% held by men) (1991)",79.46428571
"Share of seats in parliament, male (% held by men) (1992)",79.46428571
"Share of seats in parliament, male (% held by men) (1993)",79.46428571
"Share of seats in parliament, male (% held by men) (1994)",79.46428571
"Share of seats in parliament, male (% held by men) (1995)",79.46428571
"Share of seats in parliament, male (% held by men) (1996)",79.46428571
"Share of seats in parliament, male (% held by men) (1997)",79.46428571
"Share of seats in parliament, male (% held by men) (1998)",79.46428571
"Share of seats in parliament, male (% held by men) (1999)",75.33632287
"Share of seats in parliament, male (% held by men) (2000)",75
"Share of seats in parliament, male (% held by men) (2001)",75
"Share of seats in parliament, male (% held by men) (2002)",73.45132743
"Share of seats in parliament, male (% held by men) (2003)",73.45132743
"Share of seats in parliament, male (% held by men) (2004)",71.68141593
"Share of seats in parliament, male (% held by men) (2005)",71.68141593
"Share of seats in parliament, male (% held by men) (2006)",71.68141593
"Share of seats in parliament, male (% held by men) (2007)",70.3539823
"Share of seats in parliament, male (% held by men) (2008)",70.3539823
"Share of seats in parliament, male (% held by men) (2009)",69.91150442
"Share of seats in parliament, male (% held by men) (2010)",71.68141593
"Share of seats in parliament, male (% held by men) (2011)",70.79646018
"Share of seats in parliament, male (% held by men) (2012)",70.79646018
"Share of seats in parliament, male (% held by men) (2013)",68.88888889
"Share of seats in parliament, male (% held by men) (2014)",69.91150442
"Share of seats in parliament, male (% held by men) (2015)",69.46902655
"Share of seats in parliament, male (% held by men) (2016)",68.5840708
"Share of seats in parliament, male (% held by men) (2017)",67.25663717
"Share of seats in parliament, male (% held by men) (2018)",67.25663717
"Share of seats in parliament, male (% held by men) (2019)",63.43612335
"Share of seats in parliament, male (% held by men) (2020)",63.27433628
"Share of seats in parliament, male (% held by men) (2021)",62.11453744
"Share of seats in parliament, male (% held by men) (2022)",55.50660793
"Share of seats in parliament, male (% held by men) (2023)",55.50660793
"Labour force participation rate, female (% ages 15 and older) (1990)",52.25
"Labour force participation rate, female (% ages 15 and older) (1991)",51.99
"Labour force participation rate, female (% ages 15 and older) (1992)",51.96
"Labour force participation rate, female (% ages 15 and older) (1993)",51.72
"Labour force participation rate, female (% ages 15 and older) (1994)",52.61
"Labour force participation rate, female (% ages 15 and older) (1995)",53.61
"Labour force participation rate, female (% ages 15 and older) (1996)",53.8
"Labour force participation rate, female (% ages 15 and older) (1997)",53.6
"Labour force participation rate, female (% ages 15 and older) (1998)",53.65
"Labour force participation rate, female (% ages 15 and older) (1999)",53.64
"Labour force participation rate, female (% ages 15 and older) (2000)",54.52
"Labour force participation rate, female (% ages 15 and older) (2001)",55.07
"Labour force participation rate, female (% ages 15 and older) (2002)",55.27
"Labour force participation rate, female (% ages 15 and older) (2003)",55.94
"Labour force participation rate, female (% ages 15 and older) (2004)",55.71
"Labour force participation rate, female (% ages 15 and older) (2005)",56.99
"Labour force participation rate, female (% ages 15 and older) (2006)",57.55
"Labour force participation rate, female (% ages 15 and older) (2007)",58.1
"Labour force participation rate, female (% ages 15 and older) (2008)",58.56
"Labour force participation rate, female (% ages 15 and older) (2009)",58.77
"Labour force participation rate, female (% ages 15 and older) (2010)",58.64
"Labour force participation rate, female (% ages 15 and older) (2011)",58.89
"Labour force participation rate, female (% ages 15 and older) (2012)",58.79
"Labour force participation rate, female (% ages 15 and older) (2013)",58.71
"Labour force participation rate, female (% ages 15 and older) (2014)",58.67
"Labour force participation rate, female (% ages 15 and older) (2015)",59.12
"Labour force participation rate, female (% ages 15 and older) (2016)",59.35
"Labour force participation rate, female (% ages 15 and older) (2017)",59.86
"Labour force participation rate, female (% ages 15 and older) (2018)",60.52
"Labour force participation rate, female (% ages 15 and older) (2019)",60.97
"Labour force participation rate, female (% ages 15 and older) (2020)",60.21
"Labour force participation rate, female (% ages 15 and older) (2021)",61.23
"Labour force participation rate, female (% ages 15 and older) (2022)",62.54
"Labour force participation rate, female (% ages 15 and older) (2023)",62.81
"Labour force participation rate, male (% ages 15 and older) (1990)",75.59
"Labour force participation rate, male (% ages 15 and older) (1991)",74.65
"Labour force participation rate, male (% ages 15 and older) (1992)",74.14
"Labour force participation rate, male (% ages 15 and older) (1993)",73.55
"Labour force participation rate, male (% ages 15 and older) (1994)",73.61
"Labour force participation rate, male (% ages 15 and older) (1995)",73.81
"Labour force participation rate, male (% ages 15 and older) (1996)",73.58
"Labour force participation rate, male (% ages 15 and older) (1997)",73.01
"Labour force participation rate, male (% ages 15 and older) (1998)",72.71
"Labour force participation rate, male (% ages 15 and older) (1999)",72.24
"Labour force participation rate, male (% ages 15 and older) (2000)",72.1
"Labour force participation rate, male (% ages 15 and older) (2001)",71.87
"Labour force participation rate, male (% ages 15 and older) (2002)",71.79
"Labour force participation rate, male (% ages 15 and older) (2003)",71.54
"Labour force participation rate, male (% ages 15 and older) (2004)",71.52
"Labour force participation rate, male (% ages 15 and older) (2005)",72.09
"Labour force participation rate, male (% ages 15 and older) (2006)",72.25
"Labour force participation rate, male (% ages 15 and older) (2007)",72.52
"Labour force participation rate, male (% ages 15 and older) (2008)",72.63
"Labour force participation rate, male (% ages 15 and older) (2009)",72.31
"Labour force participation rate, male (% ages 15 and older) (2010)",72.37
"Labour force participation rate, male (% ages 15 and older) (2011)",72.18
"Labour force participation rate, male (% ages 15 and older) (2012)",71.73
"Labour force participation rate, male (% ages 15 and older) (2013)",71.4
"Labour force participation rate, male (% ages 15 and older) (2014)",70.95
"Labour force participation rate, male (% ages 15 and older) (2015)",71.1
"Labour force participation rate, male (% ages 15 and older) (2016)",70.6
"Labour force participation rate, male (% ages 15 and older) (2017)",70.7
"Labour force participation rate, male (% ages 15 and older) (2018)",70.96
"Labour force participation rate, male (% ages 15 and older) (2019)",71.12
"Labour force participation rate, male (% ages 15 and older) (2020)",70.04
"Labour force participation rate, male (% ages 15 and older) (2021)",70.64
"Labour force participation rate, male (% ages 15 and older) (2022)",71.3
"Labour force participation rate, male (% ages 15 and older) (2023)",71.68
Difference from HDI rank (2023),-59
Planetary pressures-adjusted Human Development Index (value) (1990),0.619
Planetary pressures-adjusted Human Development Index (value) (1991),0.629
Planetary pressures-adjusted Human Development Index (value) (1992),0.628
Planetary pressures-adjusted Human Development Index (value) (1993),0.63
Planetary pressures-adjusted Human Development Index (value) (1994),0.626
Planetary pressures-adjusted Human Development Index (value) (1995),0.615
Planetary pressures-adjusted Human Development Index (value) (1996),0.626
Planetary pressures-adjusted Human Development Index (value) (1997),0.618
Planetary pressures-adjusted Human Development Index (value) (1998),0.614
Planetary pressures-adjusted Human Development Index (value) (1999),0.622
Planetary pressures-adjusted Human Development Index (value) (2000),0.624
Planetary pressures-adjusted Human Development Index (value) (2001),0.618
Planetary pressures-adjusted Human Development Index (value) (2002),0.618
Planetary pressures-adjusted Human Development Index (value) (2003),0.603
Planetary pressures-adjusted Human Development Index (value) (2004),0.591
Planetary pressures-adjusted Human Development Index (value) (2005),0.589
Planetary pressures-adjusted Human Development Index (value) (2006),0.591
Planetary pressures-adjusted Human Development Index (value) (2007),0.589
Planetary pressures-adjusted Human Development Index (value) (2008),0.627
Planetary pressures-adjusted Human Development Index (value) (2009),0.626
Planetary pressures-adjusted Human Development Index (value) (2010),0.624
Planetary pressures-adjusted Human Development Index (value) (2011),0.632
Planetary pressures-adjusted Human Development Index (value) (2012),0.641
Planetary pressures-adjusted Human Development Index (value) (2013),0.653
Planetary pressures-adjusted Human Development Index (value) (2014),0.657
Planetary pressures-adjusted Human Development Index (value) (2015),0.667
Planetary pressures-adjusted Human Development Index (value) (2016),0.669
Planetary pressures-adjusted Human Development Index (value) (2017),0.659
Planetary pressures-adjusted Human Development Index (value) (2018),0.668
Planetary pressures-adjusted Human Development Index (value) (2019),0.671
Planetary pressures-adjusted Human Development Index (value) (2020),0.689
Planetary pressures-adjusted Human Development Index (value) (2021),0.692
Planetary pressures-adjusted Human Development Index (value) (2022),0.694
Planetary pressures-adjusted Human Development Index (value) (2023),0.7
Difference from HDI value (%) (1990),28.60438293
Difference from HDI value (%) (1991),27.53456221
Difference from HDI value (%) (1992),27.64976959
Difference from HDI value (%) (1993),27.75229358
Difference from HDI value (%) (1994),28.2932417
Difference from HDI value (%) (1995),30.27210884
Difference from HDI value (%) (1996),29.18552036
Difference from HDI value (%) (1997),30.32694476
Difference from HDI value (%) (1998),31.08866442
Difference from HDI value (%) (1999),30.34714446
Difference from HDI value (%) (2000),30.43478261
Difference from HDI value (%) (2001),31.33333333
Difference from HDI value (%) (2002),31.48558758
Difference from HDI value (%) (2003),33.44370861
Difference from HDI value (%) (2004),35.05494505
Difference from HDI value (%) (2005),35.55798687
Difference from HDI value (%) (2006),35.55070883
Difference from HDI value (%) (2007),35.9085963
Difference from HDI value (%) (2008),32.14285714
Difference from HDI value (%) (2009),32.47033441
Difference from HDI value (%) (2010),32.83100108
Difference from HDI value (%) (2011),32.26152197
Difference from HDI value (%) (2012),31.66311301
Difference from HDI value (%) (2013),30.16042781
Difference from HDI value (%) (2014),29.88260406
Difference from HDI value (%) (2015),28.891258
Difference from HDI value (%) (2016),28.75399361
Difference from HDI value (%) (2017),29.89361702
Difference from HDI value (%) (2018),29.31216931
Difference from HDI value (%) (2019),29.14466737
Difference from HDI value (%) (2020),27.47368421
Difference from HDI value (%) (2021),27.46331237
Difference from HDI value (%) (2022),27.10084034
Difference from HDI value (%) (2023),26.93110647
Carbon dioxide emissions per capita (production) (tonnes) (1990),16.31630989
Carbon dioxide emissions per capita (production) (tonnes) (1991),16.18510266
Carbon dioxide emissions per capita (production) (tonnes) (1992),16.29371137
Carbon dioxide emissions per capita (production) (tonnes) (1993),16.38394463
Carbon dioxide emissions per capita (production) (tonnes) (1994),16.49496695
Carbon dioxide emissions per capita (production) (tonnes) (1995),16.94472127
Carbon dioxide emissions per capita (production) (tonnes) (1996),17.12845678
Carbon dioxide emissions per capita (production) (tonnes) (1997),17.3997094
Carbon dioxide emissions per capita (production) (tonnes) (1998),17.96268044
Carbon dioxide emissions per capita (production) (tonnes) (1999),18.29485005
Carbon dioxide emissions per capita (production) (tonnes) (2000),18.40407409
Carbon dioxide emissions per capita (production) (tonnes) (2001),18.58795937
Carbon dioxide emissions per capita (production) (tonnes) (2002),18.61467467
Carbon dioxide emissions per capita (production) (tonnes) (2003),18.76388237
Carbon dioxide emissions per capita (production) (tonnes) (2004),19.23000869
Carbon dioxide emissions per capita (production) (tonnes) (2005),19.14441552
Carbon dioxide emissions per capita (production) (tonnes) (2006),19.17034372
Carbon dioxide emissions per capita (production) (tonnes) (2007),19.17710616
Carbon dioxide emissions per capita (production) (tonnes) (2008),19.05322476
Carbon dioxide emissions per capita (production) (tonnes) (2009),18.79396287
Carbon dioxide emissions per capita (production) (tonnes) (2010),18.39901489
Carbon dioxide emissions per capita (production) (tonnes) (2011),18.06402853
Carbon dioxide emissions per capita (production) (tonnes) (2012),17.87108508
Carbon dioxide emissions per capita (production) (tonnes) (2013),17.26684251
Carbon dioxide emissions per capita (production) (tonnes) (2014),16.73352982
Carbon dioxide emissions per capita (production) (tonnes) (2015),16.85527381
Carbon dioxide emissions per capita (production) (tonnes) (2016),16.96119902
Carbon dioxide emissions per capita (production) (tonnes) (2017),16.82847008
Carbon dioxide emissions per capita (production) (tonnes) (2018),16.63747041
Carbon dioxide emissions per capita (production) (tonnes) (2019),16.39653794
Carbon dioxide emissions per capita (production) (tonnes) (2020),15.55056903
Carbon dioxide emissions per capita (production) (tonnes) (2021),15.00783783
Carbon dioxide emissions per capita (production) (tonnes) (2022),14.68296734
Carbon dioxide emissions per capita (production) (tonnes) (2023),14.48505587
Material footprint per capita (tonnes) (1990),32.4742
Material footprint per capita (tonnes) (1991),30.539
Material footprint per capita (tonnes) (1992),30.656
Material footprint per capita (tonnes) (1993),30.8499
Material footprint per capita (tonnes) (1994),31.6997
Material footprint per capita (tonnes) (1995),34.6384
Material footprint per capita (tonnes) (1996),32.4479
Material footprint per capita (tonnes) (1997),34.2904
Material footprint per capita (tonnes) (1998),34.9845
Material footprint per capita (tonnes) (1999),33.1352
Material footprint per capita (tonnes) (2000),33.2517
Material footprint per capita (tonnes) (2001),34.5897
Material footprint per capita (tonnes) (2002),34.9966
Material footprint per capita (tonnes) (2003),38.2272
Material footprint per capita (tonnes) (2004),40.5506
Material footprint per capita (tonnes) (2005),41.7304
Material footprint per capita (tonnes) (2006),41.6703
Material footprint per capita (tonnes) (2007),42.2755
Material footprint per capita (tonnes) (2008),35.6241
Material footprint per capita (tonnes) (2009),36.4525
Material footprint per capita (tonnes) (2010),37.6499
Material footprint per capita (tonnes) (2011),36.9646
Material footprint per capita (tonnes) (2012),36.1518
Material footprint per capita (tonnes) (2013),34.0362
Material footprint per capita (tonnes) (2014),34.1449
Material footprint per capita (tonnes) (2015),32.2598
Material footprint per capita (tonnes) (2016),31.9522
Material footprint per capita (tonnes) (2017),34.0499
Material footprint per capita (tonnes) (2018),33.3585
Material footprint per capita (tonnes) (2019),33.2981
Material footprint per capita (tonnes) (2020),31.2669
Material footprint per capita (tonnes) (2021),31.9297
Material footprint per capita (tonnes) (2022),31.6493
Material footprint per capita (tonnes) (2023),31.4649
Period,2017-2022
Total,34.83
Women,29.05
Men,43.26
Share of people with no bias,65.17
Political,23.27
Educational,2.62
Economic,13.32
Physical integrity,17.17
