key,value
ISO3,AUS
HDR Country Name,Australia
Human Development Groups,Very High
UNDP Developeing Regions,
Gross National Income Per Capita (2021 PPP$) (1998),35542.70719
Gross National Income Per Capita (2021 PPP$) (1999),36591.17071
Gross National Income Per Capita (2021 PPP$) (2000),37976.60707
Gross National Income Per Capita (2021 PPP$) (2001),38416.24244
Gross National Income Per Capita (2021 PPP$) (2002),39652.27924
Gross National Income Per Capita (2021 PPP$) (2003),40488.25478
Gross National Income Per Capita (2021 PPP$) (2004),42308.52194
Gross National Income Per Capita (2021 PPP$) (2005),43428.91665
Gross National Income Per Capita (2021 PPP$) (2006),44800.9877
Gross National Income Per Capita (2021 PPP$) (2007),46023.91301
Gross National Income Per Capita (2021 PPP$) (2008),47441.48535
Gross National Income Per Capita (2021 PPP$) (2009),48331.83679
Gross National Income Per Capita (2021 PPP$) (2010),48044.94603
Gross National Income Per Capita (2021 PPP$) (2011),50384.49487
Gross National Income Per Capita (2021 PPP$) (2012),52028.95123
Gross National Income Per Capita (2021 PPP$) (2013),51662.83279
Gross National Income Per Capita (2021 PPP$) (2014),51752.21356
Gross National Income Per Capita (2021 PPP$) (2015),51244.17781
Gross National Income Per Capita (2021 PPP$) (2016),50602.687
Gross National Income Per Capita (2021 PPP$) (2017),52180.36416
Gross National Income Per Capita (2021 PPP$) (2018),52892.5044
Gross National Income Per Capita (2021 PPP$) (2019),53812.51606
Gross National Income Per Capita (2021 PPP$) (2020),53837.41334
Gross National Income Per Capita (2021 PPP$) (2021),56782.45814
Gross National Income Per Capita (2021 PPP$) (2022),58256.355
Gross National Income Per Capita (2021 PPP$) (2023),58276.87643
GDI Group (2023),1
Gender Development Index (value) (1990),0.963
Gender Development Index (value) (1991),0.962
Gender Development Index (value) (1992),0.963
Gender Development Index (value) (1993),0.963
Gender Development Index (value) (1994),0.964
Gender Development Index (value) (1995),0.964
Gender Development Index (value) (1996),0.965
Gender Development Index (value) (1997),0.965
Gender Development Index (value) (1998),0.966
Gender Development Index (value) (1999),0.966
Gender Development Index (value) (2000),0.967
Gender Development Index (value) (2001),0.958
